student,JS1,JS2,JS3,Py1,Py2
tud55335,1,1,1,1,1
tuh01087,1,1,1,1,1
tug62463,1,1,0,1,1
tuh17996,1,1,1,1,1
tuh19958,1,1,1,0,0
tuh35112,1,1,0,1,1
tuh11841,1,1,1,1,1
tug94380,1,1,1,1,1
tuh00045,1,1,0,1,1
tug99404,1,1,0,1,1
tug97942,1,1,1,1,1
tug44432,1,1,1,0,0
tuh02863,1,0,0,1,0
tuh34715,1,1,1,1,0
tuh03520,1,1,0,1,1
tuf63607,1,1,0,1,0
tuh06943,1,1,0,1,1
tug68550,1,1,1,1,1
tug95780,1,1,0,1,1
tuh22786,1,1,1,1,1
tuh40100,1,1,1,1,1
tug58454,1,1,0,1,0
tue56133,1,1,1,1,1
tuh04598,1,1,1,1,1
tug90819,1,0,0,0,0
tuh17622,1,1,0,0,0
tuh30560,1,1,0,1,1
tug77831,1,1,1,1,1
tuh10478,1,1,1,1,1
